hex,color
000000,Black
000080,Navy Blue
00008B,Dark Blue
00009C,Duke Blue
0000CD,Medium Blue
0000FF,Blue
000F89,Phthalo Blue
0014A8,Zaffre
002147,Oxford Blue
002366,Royal Blue (Traditional)
002387,Resolution Blue
002395,Imperial Blue
002E63,Cool Black
002FA7,International Klein Blue
00308F,Air Force Blue (Usaf)
003153,Prussian Blue
003366,Dark Midnight Blue
003399,Dark Powder Blue
0033AA,Ua Blue
0038A8,Royal Azure
004040,Rich Black
00416A,Indigo (Dye)
004225,British Racing Green
004242,Warm Black
0047AB,Cobalt
004953,Midnight Green (Eagle Green)
004B49,Deep Jungle Green
004F98,Usafa Blue
00563F,Sacramento State Green
006600,Pakistan Green
0067A5,Sapphire Blue
006994,Sea Blue
006A4E,Bottle Green
006B3C,Cadmium Green
00703C,Dartmouth Green
0070FF,Brandeis Blue
0072BB,French Blue
0073CF,True Blue
007474,Skobeloff
00755E,Tropical Rain Forest
0077BE,Ocean Boat Blue
007AA5,Cg Blue
007BA7,Celadon Blue
007FBF,Honolulu Blue
007FFF,Azure
008000,Green (Html/Css Green)
008080,Teal
00827F,Teal Green
0087BD,Blue (Ncs)
008B8B,Dark Cyan
009000,Islamic Green
0093AF,Blue (Munsell)
0095B6,Bondi Blue
009E60,Shamrock Green
009F6B,Green (Ncs)
00A550,Green (Pigment)
00A693,Persian Green
00A86B,Jade
00A877,Green (Munsell)
00B7EB,Cyan (Process)
00BFFF,Deep Sky Blue
00CC99,Caribbean Green
00CCCC,Robin Egg Blue
00CED1,Dark Turquoise
00FA9A,Medium Spring Green
00FF00,Green
00FF7F,Spring Green
00FFEF,Turquoise Blue
0FFFFF,Aqua
00FFFF,Cyan
013220,Dark Green
014421,Forest Green (Traditional)
01796F,Pine Green
0247FE,Blue (Ryb)
035096,Medium Electric Blue
03C03C,Dark Pastel Green
059033,North Texas Green
062A78,Catalina Blue
08457E,Dark Cerulean
087830,La Salle Green
0892D0,Rich Electric Blue
08E8DE,Bright Turquoise
0ABAB5,Tiffany Blue
0BDA51,Malachite
0D98BA,Blue-Green
0F4D92,Yale Blue
0F52BA,Sapphire
0FC0FC,Spiro Disco Ball
100C08,Smoky Black
1034A6,Egyptian Blue
120A8F,Ultramarine
123524,Phthalo Green
126180,Blue Sapphire
138808,India Green
1560BD,Denim
177245,Dark Spring Green
18453B,Msu Green
191970,Midnight Blue
195905,Lincoln Green
1A1110,Licorice
1A2421,Dark Jungle Green
1C352D,Medium Jungle Green
1C39BB,Persian Blue
1CAC78,Green (Crayola)
1DACD6,Bright Cerulean
1E4D2B,Cal Poly Green
1E90FF,Dodger Blue
1F75FE,Blue (Crayola)
20B2AA,Light Sea Green
21421E,Myrtle
21ABCD,Ball Blue
228B22,Forest Green (Web)
23297A,St. Patrick'S Blue
253529,Black Leather Jacket
26619C,Lapis Lazuli
273BE2,Palatinate Blue
29AB87,Jungle Green
2A52BE,Cerulean Blue
2A8000,Napier Green
2C1608,Zinnwaldite Brown
2E8B57,Sea Green
2F4F4F,Dark Slate Gray
2F847C,Celadon Green
30BA8F,Mountain Meadow
30D5C8,Turquoise
318CE7,Bleu De France
32127A,Persian Indigo
321414,Seal Brown
324AB2,Violet-Blue
32CD32,Lime Green
333399,Blue (Pigment)
343434,Jet
353839,Onyx
355E3B,Hunter Green
36454F,Charcoal
367588,Teal Blue
39FF14,Neon Green
3B3C36,Black Olive
3B444B,Arsenic
3C1414,Dark Sienna
3C341F,Olive Drab #7
3CB371,Medium Sea Green
3CD070,Ufo Green
3D0C02,Black Bean
3D2B1F,Bistre
3EB489,Mint
3F00FF,Electric Ultramarine
3FFF00,Harlequin
40826D,Viridian
414833,Rifle Green
414A4C,Outer Space
4166F5,Ultramarine Blue
4169E1,Royal Blue (Web)
417DC1,Tufts Blue
43B3AE,Verdigris
446CCF,Han Blue
465945,Gray-Asparagus
4682B4,Steel Blue
480607,Bulgarian Rose
483C32,Dark Lava
