place,movie_title,rating,year,star_cast
1,The Shawshank Redemption,9.234904136818454,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.15624256340351,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.988706481126444,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.984194506058763,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.950378660821537,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.937490356517953,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.92747119693047,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.848600373629079,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.807764305629757,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.791317254914828,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.76765197219575,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.748855294854142,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.733239211175135,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.732812731363351,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,The Empire Strikes Back,8.700015179846625,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.669806873023978,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.65205609337949,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.639647532083753,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604249174368016,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.599072399250122,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.595597467085389,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.588098006838871,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.579576002977847,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.578595835275541,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.567330756535378,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,Interstellar,8.56303060608984,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
27,The Green Mile,8.56163218111644,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
28,Star Wars,8.550952471373744,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.536034536114844,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.517634371526357,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.515957661934813,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.508100171700699,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.506140125815184,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Gisaengchung,8.497547306878936,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
35,Léon,8.496742949795678,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
36,The Lion King,8.488303334526902,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.48613057086782,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.483038321302992,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Departed,8.475406175977735,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
40,The Usual Suspects,8.472974613205455,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
41,The Prestige,8.468754981826935,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Whiplash,8.46419492410809,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
43,Casablanca,8.463536574401392,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
44,The Intouchables,8.45389376019163,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
45,Seppuku,8.452823221120253,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
46,Hotaru no haka,8.452312496213862,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
47,Modern Times,8.448896098758617,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
48,Once Upon a Time in the West,8.445557033237119,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Rear Window,8.436516529285429,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
50,Alien,8.434191515187006,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
51,City Lights,8.43400078426509,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
52,Nuovo Cinema Paradiso,8.432330911775702,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
53,Apocalypse Now,8.424316691843506,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
54,Memento,8.423001092607869,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Raiders of the Lost Ark,8.40875402873324,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
56,Django Unchained,8.405712989541973,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
57,WALL·E,8.393874760771658,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
58,The Lives of Others,8.385260120005508,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
59,Sunset Blvd,8.381538331508562,1950,"Billy Wilder (dir.), William Holden, Gloria Swanson"
60,Paths of Glory,8.372273172821316,1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker"
61,The Shining,8.366253580048621,1980,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall"
62,The Great Dictator,8.366139448005406,1940,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
63,Avengers: Infinity War,8.35982850807831,2018,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth"
64,Witness for the Prosecution,8.359818706084797,1957,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich"
65,Aliens,8.343195944781366,1986,"James Cameron (dir.), Sigourney Weaver, Michael Biehn"
66,American Beauty,8.33434708795025,1999,"Sam Mendes (dir.), Kevin Spacey, Annette Bening"
67,Spider-Man: Into the Spider-Verse,8.333401167582558,2018,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson"
68,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.33088130513012,1964,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott"
69,The Dark Knight Rises,8.327616707512922,2012,"Christopher Nolan (dir.), Christian Bale, Tom Hardy"
70,Oldeuboi,8.320293271332895,2003,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae"
71,Joker,8.316498373495666,2019,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro"
72,Amadeus,8.315915050787167,1984,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce"
73,Inglourious Basterds,8.314304876708752,2009,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger"
74,Toy Story,8.314113950777616,1995,"John Lasseter (dir.), Tom Hanks, Tim Allen"
75,Coco,8.314063119617284,2017,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal"
76,Braveheart,8.313879864301272,1995,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau"
77,Das Boot,8.312114822300837,1981,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer"
78,Avengers: Endgame,8.303857104770678,2019,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans"
79,Mononoke-hime,8.303350373225244,1997,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida"
80,Top Gun: Maverick,8.299656428177661,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
81,Once Upon a Time in America,8.297673313570954,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
82,Good Will Hunting,8.288839571210985,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
83,Kimi no na wa,8.279527211534438,2016,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi"
84,Requiem for a Dream,8.275746143325462,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
85,Toy Story 3,8.274002958042601,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
86,Singin' in the Rain,8.273688160960239,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
87,3 Idiots,8.27343895400716,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
88,Tengoku to jigoku,8.269244396218957,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
89,Star Wars: Episode VI - Return of the Jedi,8.265672583109295,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
90,2001: A Space Odyssey,8.263722837501648,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
91,Eternal Sunshine of the Spotless Mind,8.263099458543415,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
92,Capharnaüm,8.262183579687944,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
